,platform,year,genre,publisher,na_sales,global_sales
265,16,2004.0,0,275,1.46,4.23
266,19,2006.0,4,455,2.45,4.22
267,13,1995.0,11,21,1.7,4.21
268,2,2011.0,0,359,2.03,4.21
269,16,2005.0,10,138,0.78,4.21
270,16,2003.0,3,455,0.88,4.2
271,18,2016.0,8,455,1.3,4.2
272,17,2007.0,6,455,1.28,4.2
273,28,2011.0,0,524,2.25,4.19
274,17,2009.0,2,85,2.02,4.19
275,28,2011.0,10,138,0.84,4.19
276,11,1989.0,0,385,3.38,4.17
277,11,1984.0,6,359,2.04,4.16
278,15,1997.0,0,214,3.79,4.16
279,16,2002.0,10,138,3.36,4.14
280,18,2014.0,0,524,1.4,4.14
281,13,1997.0,8,543,4.03,4.12
282,23,1995.0,4,359,1.65,4.12
283,16,2006.0,10,138,0.71,4.11
284,26,2011.0,0,359,2.14,4.1
285,23,1992.0,2,85,1.42,4.1
286,26,2007.0,3,493,2.13,4.1
287,30,2015.0,7,66,2.45,4.09
288,13,2007.0,7,21,2.57,4.09
289,28,2010.0,7,66,2.65,4.08
290,16,2007.0,0,455,2.32,4.07
291,28,2007.0,6,323,2.35,4.06
292,16,2005.0,10,275,0.12,4.06
293,15,1996.0,3,455,2.28,4.05
294,16,2000.0,2,347,1.68,4.05
295,18,2014.0,8,524,1.12,4.03
296,10,1997.0,8,359,2.78,4.03
297,18,2014.0,3,457,1.38,4.02
298,11,1984.0,10,359,1.22,4.01
299,17,2008.0,7,66,2.15,4.01
300,4,2007.0,5,359,0.92,4.0
301,28,2009.0,8,138,2.67,3.99
302,16,2005.0,3,347,2.08,3.98
303,26,2009.0,10,138,2.1,3.92
304,18,2014.0,0,524,1.18,3.92
305,5,1994.0,4,359,1.97,3.91
306,16,2003.0,10,21,2.29,3.9
307,17,2013.0,0,524,1.33,3.89
308,2,2014.0,7,359,0.67,3.89
309,17,2006.0,6,455,1.53,3.88
310,13,2011.0,7,66,1.15,3.88
311,16,2005.0,2,347,0.93,3.87
312,11,1988.0,7,144,0.1,3.87
313,17,2010.0,10,455,2.12,3.87
314,18,2015.0,10,493,2.48,3.85
315,16,2004.0,10,275,0.16,3.85
316,4,2007.0,3,359,0.87,3.84
317,15,1995.0,3,455,2.12,3.84
318,5,1992.0,0,359,2.21,3.83
319,4,2009.0,7,359,2.26,3.83
320,26,2007.0,3,359,1.06,3.82
321,2,2011.0,9,359,1.44,3.81
322,18,2015.0,0,547,1.49,3.79
323,26,2011.0,10,445,1.14,3.78
324,28,2008.0,0,21,2.4,3.78
325,15,1996.0,0,540,1.82,3.77
326,19,2007.0,4,455,1.4,3.77
327,26,2013.0,3,524,1.98,3.76
328,13,2002.0,9,138,2.03,3.76
329,26,2007.0,4,359,1.98,3.76
330,15,2001.0,0,138,1.37,3.73
331,18,2015.0,7,347,0.96,3.73
332,15,1999.0,0,137,1.3,3.72
333,15,2000.0,4,455,1.93,3.71
334,16,2004.0,10,138,0.58,3.7
335,5,1998.0,11,359,1.49,3.7
336,17,2013.0,8,138,1.3,3.69
337,4,2007.0,9,138,1.59,3.69
338,4,2009.0,3,359,0.0,3.67
339,16,2002.0,10,21,2.13,3.67
340,19,2005.0,6,493,1.65,3.66
341,10,1998.0,4,359,1.87,3.65
342,16,2002.0,8,455,2.53,3.65
343,26,2008.0,3,21,2.33,3.65
344,17,2013.0,6,455,0.71,3.64
345,16,2001.0,4,455,2.08,3.64
346,10,1999.0,9,359,2.23,3.63
347,17,2009.0,10,138,0.6,3.63
348,16,2007.0,10,275,0.05,3.63
349,18,2013.0,8,21,1.78,3.63
350,16,2005.0,0,85,2.08,3.62
351,18,2016.0,8,524,1.28,3.61
352,16,2004.0,8,288,1.93,3.61
353,13,1994.0,8,540,2.05,3.61
354,16,2001.0,6,138,2.02,3.61
355,4,2007.0,9,6,1.61,3.61
356,7,2001.0,0,359,2.38,3.6
357,16,2005.0,8,288,2.18,3.59
358,15,2000.0,2,487,2.01,3.58
359,15,1997.0,4,164,1.57,3.56
360,16,2006.0,0,493,1.56,3.54
361,16,2002.0,0,455,1.23,3.54
362,15,1997.0,0,137,1.66,3.54
363,16,2001.0,8,138,1.9,3.53
364,16,2005.0,0,137,1.98,3.53
365,28,2013.0,8,138,2.14,3.53
366,28,2010.0,10,138,0.71,3.53
367,15,2000.0,0,487,1.96,3.52
368,15,1999.0,4,455,2.14,3.52
369,28,2008.0,8,138,2.66,3.52
370,4,2009.0,10,445,1.22,3.52
371,28,2009.0,0,85,2.11,3.51
372,23,1996.0,4,359,1.17,3.51
373,28,2010.0,0,524,2.84,3.5
374,11,1985.0,0,359,1.64,3.5
375,28,2009.0,0,137,2.2,3.5
376,4,2006.0,3,359,0.59,3.5
378,30,2015.0,8,138,1.94,3.49
379,28,2010.0,8,138,2.09,3.48
380,4,2008.0,3,21,2.11,3.48
381,30,2014.0,0,524,2.26,3.46
382,17,2012.0,8,524,0.88,3.45
383,2,2013.0,7,85,0.0,3.44
384,28,2009.0,8,493,2.39,3.44
385,16,2002.0,2,347,1.55,3.44
386,18,2013.0,8,138,1.34,3.43
387,17,2011.0,4,455,1.82,3.42
388,15,1998.0,0,493,1.13,3.42
389,23,1994.0,7,465,0.86,3.42
390,16,2004.0,0,21,1.75,3.41
391,5,1990.0,6,359,1.73,3.41
392,16,2002.0,10,138,0.46,3.4
393,15,2000.0,3,455,1.56,3.39
394,28,2008.0,0,547,2.03,3.38
395,18,2015.0,0,275,1.08,3.38
396,4,2009.0,0,359,1.43,3.38
397,15,1998.0,2,17,2.47,3.36
398,10,2000.0,0,359,1.9,3.36
399,4,2008.0,5,359,0.65,3.36
400,15,1998.0,1,487,1.63,3.34
401,28,2013.0,0,524,1.9,3.34
402,4,2006.0,3,359,0.0,3.33
403,16,2002.0,8,138,1.45,3.33
404,16,2002.0,4,455,1.44,3.33
405,26,2012.0,3,359,1.15,3.32
406,16,2005.0,0,288,1.47,3.32
407,16,2001.0,8,493,1.99,3.31
408,16,2003.0,0,138,1.5,3.28
409,18,2015.0,0,524,0.8,3.28
410,30,2014.0,8,21,2.13,3.28
411,16,2003.0,0,21,1.89,3.27
412,26,2008.0,3,359,1.36,3.27
413,19,2009.0,6,455,0.5,3.27
414,2,2015.0,0,85,0.25,3.26
415,15,1995.0,2,455,0.95,3.24
416,30,2015.0,10,138,0.88,3.23
417,17,2011.0,1,493,1.27,3.23
418,18,2015.0,10,138,2.33,3.22
419,2,2014.0,7,359,0.03,3.22
420,15,1999.0,8,138,1.72,3.21
421,11,1983.0,10,359,0.73,3.2
422,23,1995.0,2,359,2.26,3.2
423,15,2000.0,2,487,1.76,3.2
424,19,2007.0,7,464,1.35,3.19
425,19,2008.0,0,455,1.48,3.19
426,23,1995.0,7,144,0.0,3.19
427,28,2010.0,3,292,2.15,3.19
428,16,2003.0,0,53,1.78,3.18
429,27,2015.0,4,359,1.18,3.18
430,17,2010.0,7,66,1.52,3.17
432,4,2008.0,3,359,0.58,3.17
433,16,2001.0,9,457,2.06,3.17
434,4,2008.0,1,126,1.88,3.16
435,7,2001.0,9,359,1.92,3.15
436,4,2008.0,0,547,1.79,3.15
437,4,2005.0,4,445,1.22,3.15
438,17,2012.0,8,85,0.88,3.15
439,30,2014.0,8,323,1.89,3.15
440,16,2007.0,10,138,0.68,3.14
441,15,2000.0,0,21,1.7,3.13
442,15,1998.0,6,138,2.14,3.12
443,10,1999.0,6,359,2.31,3.12
444,4,2006.0,3,359,0.91,3.12
445,17,2007.0,7,524,1.69,3.12
446,11,1990.0,7,144,0.08,3.12
447,17,2010.0,1,455,1.29,3.12
448,28,2010.0,7,138,1.99,3.11
449,28,2014.0,10,138,0.78,3.11
450,16,2002.0,2,53,2.17,3.09
451,16,2001.0,10,138,2.5,3.08
452,11,1986.0,10,347,1.92,3.08
453,28,2012.0,8,493,1.89,3.07
454,2,2013.0,0,359,1.4,3.07
455,5,1994.0,4,359,1.57,3.07
456,13,2002.0,9,138,1.72,3.07
457,28,2012.0,7,138,1.94,3.07
458,28,2008.0,0,21,1.91,3.05
459,28,2012.0,8,524,1.38,3.04
460,26,2010.0,4,126,2.06,3.04
461,28,2008.0,0,487,1.94,3.03
462,15,1995.0,4,524,1.54,3.03
463,17,2009.0,8,455,1.4,3.02
464,29,2002.0,0,524,1.85,3.02
465,11,1987.0,2,359,2.03,3.02
466,16,2002.0,10,487,1.45,3.02
467,30,2015.0,8,323,2.38,3.0
468,28,2012.0,10,493,2.6,3.0
469,16,2007.0,2,53,1.15,3.0
471,18,2014.0,0,547,1.01,2.99
472,23,1993.0,8,359,1.61,2.99
473,13,2000.0,3,138,1.67,2.99
474,16,2002.0,10,275,0.12,2.99
475,16,2001.0,0,85,1.36,2.99
476,2,2015.0,9,359,0.47,2.98
477,17,2010.0,8,138,1.33,2.97
478,13,2014.0,9,138,0.96,2.97
479,13,2011.0,7,138,1.58,2.97
480,16,2003.0,4,445,1.04,2.96
481,4,2008.0,4,359,1.57,2.96
482,16,2002.0,0,137,1.36,2.96
483,28,2009.0,2,85,1.82,2.95
484,10,1996.0,6,359,1.98,2.94
485,16,2003.0,8,455,2.22,2.94
486,16,2005.0,2,487,1.45,2.94
487,17,2009.0,0,455,1.76,2.94
488,6,2001.0,5,53,2.07,2.94
489,28,2007.0,7,323,1.83,2.93
490,26,2006.0,5,359,0.87,2.92
491,26,2007.0,9,6,1.43,2.91
492,6,2002.0,4,359,1.75,2.91
493,18,2013.0,10,138,0.61,2.9
494,30,2014.0,8,138,1.84,2.9
495,16,2004.0,3,445,1.54,2.9
496,28,2008.0,10,445,1.75,2.9
497,16,2003.0,10,275,0.08,2.9
498,17,2012.0,6,138,0.71,2.89
499,16,2001.0,10,455,0.99,2.89
500,16,2004.0,8,21,1.51,2.89
501,26,2011.0,10,296,1.54,2.88
502,15,1999.0,8,455,2.03,2.88
503,4,2007.0,9,524,1.3,2.88
504,15,1998.0,6,91,0.09,2.87
505,30,2013.0,8,21,1.87,2.86
506,28,2012.0,10,138,2.53,2.86
507,29,2002.0,7,524,2.09,2.86
508,17,2011.0,2,547,1.98,2.85
509,23,1990.0,6,359,1.37,2.85
510,10,1997.0,4,359,1.29,2.85
511,13,1996.0,11,540,1.37,2.85
512,26,2011.0,0,21,1.4,2.85
513,17,2015.0,10,138,0.4,2.85
514,17,2010.0,0,524,1.87,2.84
515,28,2007.0,8,493,1.65,2.83
516,28,2009.0,10,138,2.52,2.83
517,17,2010.0,8,138,1.28,2.83
518,16,2002.0,2,487,1.32,2.83
519,7,2002.0,8,359,1.96,2.82
520,6,2003.0,0,487,1.59,2.82
521,13,1994.0,1,424,0.02,2.81
522,17,2010.0,6,138,1.05,2.81
523,4,2007.0,9,524,1.32,2.81
524,16,2003.0,2,487,1.32,2.8
525,28,2008.0,0,288,1.74,2.8
526,4,2006.0,4,359,1.47,2.8
527,15,1997.0,10,455,0.29,2.79
528,17,2011.0,8,455,1.45,2.79
529,15,1998.0,4,455,1.96,2.79
530,16,2001.0,2,487,1.19,2.79
531,23,1992.0,7,144,0.0,2.79
532,15,1996.0,2,177,1.98,2.79
533,13,2011.0,8,138,0.89,2.79
534,16,2001.0,10,138,2.19,2.79
535,4,2009.0,5,359,0.3,2.79
536,2,2011.0,7,359,0.46,2.79
537,16,2003.0,4,455,1.68,2.78
538,18,2014.0,0,455,1.27,2.78
539,16,2003.0,4,455,1.44,2.78
540,17,2009.0,2,347,1.2,2.78
541,16,2003.0,9,138,1.41,2.77
542,26,2007.0,4,445,1.24,2.77
543,28,2011.0,0,487,1.25,2.77
544,0,1980.0,8,53,2.56,2.76
545,23,1992.0,3,359,1.43,2.75
546,18,2013.0,0,524,1.07,2.74
547,10,2000.0,11,359,1.02,2.73
548,11,1986.0,0,359,1.33,2.73
549,28,2011.0,1,493,1.52,2.72
550,28,2006.0,8,21,1.49,2.71
551,6,2002.0,0,359,1.75,2.7
552,16,2001.0,0,540,0.99,2.7
553,18,2015.0,2,547,1.47,2.7
554,10,1998.0,3,359,1.25,2.7
555,28,2011.0,10,138,2.42,2.69
556,16,2006.0,0,288,1.85,2.69
557,28,2010.0,10,138,2.38,2.69
558,4,2010.0,5,359,1.63,2.69
559,28,2010.0,10,138,1.46,2.68
560,16,2004.0,6,138,1.23,2.68
561,2,2014.0,7,281,0.0,2.68
562,17,2009.0,6,138,0.69,2.68
563,17,2011.0,7,464,0.78,2.68
564,8,1992.0,2,40,1.95,2.67
565,16,2005.0,8,21,1.48,2.67
566,28,2008.0,3,21,1.78,2.67
567,15,1998.0,8,138,1.44,2.67
568,29,2004.0,7,323,1.99,2.66
569,4,2006.0,0,126,1.59,2.65
570,16,2003.0,0,524,1.15,2.65
571,26,2012.0,0,21,1.56,2.65
572,19,2006.0,8,138,0.86,2.65
573,11,1986.0,4,359,0.0,2.65
574,10,1996.0,0,359,2.0,2.65
575,28,2007.0,0,288,1.53,2.64
576,16,2000.0,6,493,2.0,2.63
577,19,2006.0,2,455,0.76,2.63
578,28,2009.0,11,323,1.53,2.63
579,17,2009.0,0,455,1.7,2.63
580,16,2004.0,10,445,2.15,2.62
581,26,2007.0,10,359,1.07,2.62
582,28,2010.0,8,138,1.55,2.62
583,28,2009.0,10,138,0.59,2.62
584,28,2011.0,10,493,2.31,2.62
585,4,2008.0,9,359,0.63,2.61
586,16,2002.0,0,138,0.9,2.61
587,26,2010.0,4,359,1.02,2.6
588,8,1990.0,0,445,1.86,2.6
589,17,2008.0,10,138,0.48,2.59
590,17,2007.0,4,455,0.93,2.59
591,16,2004.0,10,138,2.03,2.59
592,19,2009.0,4,455,0.64,2.58
593,18,2013.0,8,455,0.89,2.58
594,28,2009.0,0,493,1.04,2.58
595,19,2007.0,7,85,0.37,2.58
596,16,2006.0,2,487,1.4,2.58
597,16,2004.0,4,455,1.31,2.57
598,4,2010.0,3,359,0.28,2.57
599,28,2009.0,7,138,1.76,2.57
600,16,2007.0,10,138,2.14,2.57
601,7,2001.0,4,445,1.7,2.56
602,11,1987.0,7,144,0.15,2.56
603,17,2012.0,10,138,2.11,2.56
604,7,2003.0,7,359,1.21,2.54
605,26,2008.0,10,275,1.13,2.54
606,28,2008.0,10,138,2.21,2.54
608,16,2001.0,6,17,1.13,2.52
609,10,2000.0,0,359,1.55,2.52
610,26,2007.0,3,325,1.5,2.52
611,11,1986.0,7,85,0.49,2.52
612,17,2013.0,0,464,0.6,2.51
613,28,2006.0,7,21,2.29,2.5
614,16,2008.0,10,275,0.13,2.5
615,10,1999.0,3,359,1.28,2.5
616,17,2011.0,0,487,0.86,2.49
617,29,2003.0,0,493,1.84,2.49
618,26,2010.0,0,547,1.29,2.49
619,16,2002.0,2,325,1.81,2.49
620,17,2008.0,8,455,1.15,2.48
621,28,2008.0,6,126,1.38,2.48
622,15,1998.0,0,137,1.15,2.48
623,17,2012.0,10,493,1.72,2.48
625,28,2013.0,10,493,2.1,2.47
626,7,2002.0,3,359,1.13,2.47
627,26,2010.0,3,487,1.67,2.46
628,17,2008.0,6,493,1.55,2.45
629,23,1992.0,7,465,0.0,2.45
630,15,1997.0,7,465,0.93,2.45
631,15,1996.0,6,455,2.12,2.44
632,28,2011.0,8,323,1.44,2.44
633,19,2006.0,6,138,0.87,2.44
634,16,2003.0,9,138,1.07,2.43
635,13,1997.0,1,424,1.52,2.43
636,28,2008.0,8,524,1.56,2.42
637,3,1998.0,4,445,1.26,2.42
638,11,1988.0,10,359,1.27,2.42
639,17,2010.0,10,275,0.29,2.42
640,16,2003.0,2,53,1.63,2.41
641,16,2001.0,6,455,2.07,2.41
642,15,1998.0,0,85,0.81,2.41
643,30,2014.0,3,323,1.43,2.41
644,16,2007.0,6,138,0.69,2.41
645,30,2015.0,10,138,2.07,2.4
646,15,1996.0,5,253,2.1,2.4
647,11,1987.0,2,359,0.77,2.4
648,13,1997.0,11,138,2.3,2.4
650,18,2015.0,6,138,0.49,2.39
651,28,2010.0,10,6,1.74,2.39
653,13,1994.0,3,214,1.49,2.39
654,17,2013.0,0,547,1.07,2.39
655,28,2011.0,0,120,1.48,2.39
656,16,2005.0,3,426,1.67,2.38
657,17,2007.0,0,288,1.02,2.38
658,28,2011.0,3,323,1.73,2.38
659,10,1998.0,2,487,1.94,2.38
660,18,2015.0,0,455,1.0,2.38
661,18,2014.0,10,493,1.46,2.38
662,17,2010.0,10,138,2.04,2.38
663,16,2001.0,3,275,1.16,2.38
664,28,2007.0,10,138,2.18,2.37
665,13,2004.0,8,543,2.28,2.37
666,16,2004.0,0,487,0.96,2.37
667,16,2004.0,10,21,1.25,2.37
668,17,2009.0,10,138,2.03,2.37
669,28,2011.0,10,323,1.38,2.36
670,5,1995.0,4,359,0.69,2.36
671,4,2010.0,0,547,1.07,2.35
